"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 30 18:13:37 GMT 2021","Mon Aug 30 18:13:39 GMT 2021","2723","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterDataTest","filterDataTest",""
"passed","Mon Aug 30 18:13:26 GMT 2021","Mon Aug 30 18:13:32 GMT 2021","6063","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"passed","Mon Aug 30 18:13:18 GMT 2021","Mon Aug 30 18:14:36 GMT 2021","77531","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"failed","Mon Aug 30 18:13:53 GMT 2021","Mon Aug 30 18:14:06 GMT 2021","12667","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterLinesTest","filterLinesTest",""
"broken","Mon Aug 30 18:14:18 GMT 2021","Mon Aug 30 18:14:31 GMT 2021","12978","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableAssertsTest","tableAssertsTest",""
"passed","Mon Aug 30 18:14:36 GMT 2021","Mon Aug 30 18:14:44 GMT 2021","7864","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
"broken","Mon Aug 30 18:13:39 GMT 2021","Mon Aug 30 18:13:47 GMT 2021","7775","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"passed","Mon Aug 30 18:13:32 GMT 2021","Mon Aug 30 18:13:36 GMT 2021","3926","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"passed","Mon Aug 30 18:13:52 GMT 2021","Mon Aug 30 18:13:55 GMT 2021","3420","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"failed","Mon Aug 30 18:13:31 GMT 2021","Mon Aug 30 18:13:33 GMT 2021","2146","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataTableTest","dataTableTest",""
"failed","Mon Aug 30 18:13:37 GMT 2021","Mon Aug 30 18:13:38 GMT 2021","778","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
"passed","Mon Aug 30 18:13:38 GMT 2021","Mon Aug 30 18:13:38 GMT 2021","94","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"broken","Mon Aug 30 18:13:49 GMT 2021","Mon Aug 30 18:13:52 GMT 2021","2601","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
