"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 15:52:37 GMT 2022","Wed Nov 16 15:52:37 GMT 2022","808","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
"passed","Wed Nov 16 15:52:45 GMT 2022","Wed Nov 16 15:52:49 GMT 2022","3714","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
"passed","Wed Nov 16 15:52:39 GMT 2022","Wed Nov 16 15:52:39 GMT 2022","83","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"failed","Wed Nov 16 15:51:44 GMT 2022","Wed Nov 16 15:51:50 GMT 2022","5542","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataTableTest","dataTableTest",""
"passed","Wed Nov 16 15:51:53 GMT 2022","Wed Nov 16 15:52:00 GMT 2022","7833","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterLinesTest","filterLinesTest",""
"passed","Wed Nov 16 15:51:25 GMT 2022","Wed Nov 16 15:51:38 GMT 2022","12381","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"passed","Wed Nov 16 15:52:29 GMT 2022","Wed Nov 16 15:52:33 GMT 2022","4364","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"failed","Wed Nov 16 15:51:50 GMT 2022","Wed Nov 16 15:51:52 GMT 2022","1521","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterDataTest","filterDataTest",""
"passed","Wed Nov 16 15:52:49 GMT 2022","Wed Nov 16 15:52:51 GMT 2022","1945","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"failed","Wed Nov 16 15:52:01 GMT 2022","Wed Nov 16 15:52:28 GMT 2022","26893","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableAssertsTest","tableAssertsTest",""
"passed","Wed Nov 16 15:52:39 GMT 2022","Wed Nov 16 15:52:45 GMT 2022","6098","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"passed","Wed Nov 16 15:51:38 GMT 2022","Wed Nov 16 15:51:44 GMT 2022","5566","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
"passed","Wed Nov 16 15:52:34 GMT 2022","Wed Nov 16 15:52:35 GMT 2022","1287","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
