"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 28 09:51:45 GMT 2022","Fri Oct 28 09:51:45 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","openPerformancePage","openPerformancePage",""
"broken","Fri Oct 28 09:51:45 GMT 2022","Fri Oct 28 09:51:56 GMT 2022","10977","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"broken","Fri Oct 28 09:52:07 GMT 2022","Fri Oct 28 09:52:18 GMT 2022","10984","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"skipped","Fri Oct 28 09:51:34 GMT 2022","Fri Oct 28 09:51:34 GMT 2022","3","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterDataTest","filterDataTest",""
"skipped","Fri Oct 28 09:51:34 GMT 2022","Fri Oct 28 09:51:34 GMT 2022","7","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterLinesTest","filterLinesTest",""
"broken","Fri Oct 28 09:51:56 GMT 2022","Fri Oct 28 09:52:07 GMT 2022","11121","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
"broken","Fri Oct 28 09:50:57 GMT 2022","Fri Oct 28 09:51:11 GMT 2022","13373","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"broken","Fri Oct 28 09:51:34 GMT 2022","Fri Oct 28 09:51:34 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","before","before",""
"skipped","Fri Oct 28 09:51:45 GMT 2022","Fri Oct 28 09:51:45 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
"skipped","Fri Oct 28 09:51:45 GMT 2022","Fri Oct 28 09:51:45 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"skipped","Fri Oct 28 09:51:45 GMT 2022","Fri Oct 28 09:51:45 GMT 2022","4","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"skipped","Fri Oct 28 09:51:34 GMT 2022","Fri Oct 28 09:51:34 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableAssertsTest","tableAssertsTest",""
"skipped","Fri Oct 28 09:51:34 GMT 2022","Fri Oct 28 09:51:34 GMT 2022","4","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataTableTest","dataTableTest",""
"skipped","Fri Oct 28 09:51:45 GMT 2022","Fri Oct 28 09:51:45 GMT 2022","9","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"broken","Fri Oct 28 09:51:11 GMT 2022","Fri Oct 28 09:51:23 GMT 2022","11496","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
