"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 15 13:47:57 GMT 2021","Wed Sep 15 13:48:01 GMT 2021","3926","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"failed","Wed Sep 15 13:47:43 GMT 2021","Wed Sep 15 13:47:44 GMT 2021","823","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
"broken","Wed Sep 15 13:48:24 GMT 2021","Wed Sep 15 13:48:36 GMT 2021","11970","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableAssertsTest","tableAssertsTest",""
"passed","Wed Sep 15 13:48:38 GMT 2021","Wed Sep 15 13:48:48 GMT 2021","9749","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
"passed","Wed Sep 15 13:47:37 GMT 2021","Wed Sep 15 13:47:42 GMT 2021","4115","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"failed","Wed Sep 15 13:47:57 GMT 2021","Wed Sep 15 13:48:10 GMT 2021","13424","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterLinesTest","filterLinesTest",""
"passed","Wed Sep 15 13:47:29 GMT 2021","Wed Sep 15 13:47:37 GMT 2021","8113","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"passed","Wed Sep 15 13:47:44 GMT 2021","Wed Sep 15 13:47:44 GMT 2021","143","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"broken","Wed Sep 15 13:47:54 GMT 2021","Wed Sep 15 13:47:57 GMT 2021","2943","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
"passed","Wed Sep 15 13:47:18 GMT 2021","Wed Sep 15 13:48:38 GMT 2021","80771","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"failed","Wed Sep 15 13:47:39 GMT 2021","Wed Sep 15 13:47:42 GMT 2021","2788","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterDataTest","filterDataTest",""
"broken","Wed Sep 15 13:47:43 GMT 2021","Wed Sep 15 13:47:51 GMT 2021","8490","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"failed","Wed Sep 15 13:47:33 GMT 2021","Wed Sep 15 13:47:35 GMT 2021","2334","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataTableTest","dataTableTest",""
