"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 27 14:07:57 GMT 2021","Fri Aug 27 14:07:58 GMT 2021","1548","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
"skipped","Fri Aug 27 14:06:58 GMT 2021","Fri Aug 27 14:06:58 GMT 2021","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableAssertsTest","tableAssertsTest",""
"skipped","Fri Aug 27 14:06:59 GMT 2021","Fri Aug 27 14:06:59 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"skipped","Fri Aug 27 14:06:57 GMT 2021","Fri Aug 27 14:06:58 GMT 2021","9","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterLinesTest","filterLinesTest",""
"broken","Fri Aug 27 14:06:59 GMT 2021","Fri Aug 27 14:07:01 GMT 2021","1546","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"skipped","Fri Aug 27 14:06:57 GMT 2021","Fri Aug 27 14:06:57 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterDataTest","filterDataTest",""
"skipped","Fri Aug 27 14:06:59 GMT 2021","Fri Aug 27 14:06:59 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
"broken","Fri Aug 27 14:08:00 GMT 2021","Fri Aug 27 14:08:02 GMT 2021","1384","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"broken","Fri Aug 27 14:07:02 GMT 2021","Fri Aug 27 14:07:04 GMT 2021","1504","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
"skipped","Fri Aug 27 14:06:57 GMT 2021","Fri Aug 27 14:06:57 GMT 2021","2","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataTableTest","dataTableTest",""
"skipped","Fri Aug 27 14:06:59 GMT 2021","Fri Aug 27 14:06:59 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"skipped","Fri Aug 27 14:06:59 GMT 2021","Fri Aug 27 14:06:59 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"broken","Fri Aug 27 14:07:54 GMT 2021","Fri Aug 27 14:07:55 GMT 2021","1540","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"broken","Fri Aug 27 14:06:57 GMT 2021","Fri Aug 27 14:06:57 GMT 2021","29","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","before","before",""
"broken","Fri Aug 27 14:06:59 GMT 2021","Fri Aug 27 14:06:59 GMT 2021","0","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","openPerformancePage","openPerformancePage",""
