"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 30 18:21:10 GMT 2021","Mon Aug 30 18:21:14 GMT 2021","4260","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"passed","Mon Aug 30 18:22:11 GMT 2021","Mon Aug 30 18:22:20 GMT 2021","8509","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
"passed","Mon Aug 30 18:21:17 GMT 2021","Mon Aug 30 18:21:17 GMT 2021","167","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"passed","Mon Aug 30 18:20:51 GMT 2021","Mon Aug 30 18:22:11 GMT 2021","80081","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"failed","Mon Aug 30 18:21:15 GMT 2021","Mon Aug 30 18:21:16 GMT 2021","977","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
"failed","Mon Aug 30 18:21:13 GMT 2021","Mon Aug 30 18:21:16 GMT 2021","3192","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterDataTest","filterDataTest",""
"broken","Mon Aug 30 18:21:13 GMT 2021","Mon Aug 30 18:21:22 GMT 2021","8749","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"broken","Mon Aug 30 18:21:56 GMT 2021","Mon Aug 30 18:22:09 GMT 2021","13275","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableAssertsTest","tableAssertsTest",""
"failed","Mon Aug 30 18:21:30 GMT 2021","Mon Aug 30 18:21:43 GMT 2021","12917","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","filterLinesTest","filterLinesTest",""
"broken","Mon Aug 30 18:21:25 GMT 2021","Mon Aug 30 18:21:28 GMT 2021","2867","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
"passed","Mon Aug 30 18:21:28 GMT 2021","Mon Aug 30 18:21:31 GMT 2021","3523","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"failed","Mon Aug 30 18:21:06 GMT 2021","Mon Aug 30 18:21:08 GMT 2021","2276","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataTableTest","dataTableTest",""
"passed","Mon Aug 30 18:21:02 GMT 2021","Mon Aug 30 18:21:10 GMT 2021","7451","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
